"0","0","Max degree","Mean degree","inet efficiency","Max betweenness","Mean betweenness","Max closeness","Mean closeness","Max Page.Rank","Mean Page.Rank","Max Keinberg's centrality","Mean Max Keinberg's centrality","Total degree","Max Distance","Mean Distance","Connections to X1","Connections to X2","Connections to X3","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"0","0","3","0.153846153846154","0.0103448275862069","3","0.0769230769230769","0.000730994152046784","0.000680448956846014","0.20745069393718","0.0256410256410256","0","0","6","0.605970894665459","0.551654392728782","3","0","0","0","0","0","1","1","0","1","0","0"
"0","0","4","0.205128205128205","0.0160919540229885","6","0.153846153846154","0.00075187969924812","0.000684476928132984","0.235483007760236","0.0256410256410256","0","0","8","0.658290834216276","0.562719550027968","4","0","0","0","0","1","0","1","1","1","1","0"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.522990458493708","0.522990458493708","1","0","0","1","0","0","1","1","1","1","0","0"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.593100483745621","0.593100483745621","1","0","0","1","0","0","1","0","1","1","1","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.533963956479495","0.533963956479495","1","0","0","1","1","1","1","1","1","1","1","0"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.53725178596152","0.53725178596152","0","0","0","1","0","1","0","1","0","1","0","0"
"0","0","5","0.41025641025641","0.0390804597701149","15","0.666666666666667","0.000821018062397373","0.00070414553056164","0.187503361327032","0.0256410256410256","0","0","16","0.746118423020218","0.570079967788794","4","0","5","0","1","1","1","1","1","1","1","0"
"0","0","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.541728646011098","0.52552043891054","1","0","0","0","0","1","1","1","1","0","0","0"
"0","0","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.509366882528866","0.507173405668116","1","0","0","0","1","0","0","1","0","0","1","0"
"0","0","2","0.153846153846154","0.00804597701149425","1","0.0256410256410256","0.000711237553342817","0.000678454192897743","0.144500936580144","0.0256410256410256","0","0","6","0.548696706518207","0.529866651746415","1","0","1","0","1","0","0","1","0","0","1","1"
"0","0","5","0.256410256410256","0.0229885057471264","10","0.256410256410256","0.000773993808049536","0.000689723717362573","0.259163272861903","0.0256410256410256","0","0","10","0.706155935297783","0.599180576844622","5","0","0","0","1","1","1","0","0","0","1","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.612149799599271","0.598980900449539","1","0","0","1","0","1","1","1","1","0","0","0"
"0","0","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.57257585100538","0.545959088622071","1","0","0","0","0","1","1","0","1","0","1","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"0","0","2","0.205128205128205","0.0114942528735632","0.5","0.0512820512820513","0.000730460189919649","0.000680476279557142","0.108108108108108","0.0256410256410256","0","0","8","0.745272639978545","0.589381374076801","2","0","2","0","0","0","1","0","1","1","0","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.503095102674882","0.503095102674882","1","0","0","1","0","0","1","0","1","1","1","0"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.505024850044433","0.505024850044433","1","0","0","0","0","1","1","0","1","1","1","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
